cumpop,L_utci_mean,L_tsd,L_hdh
0.0007540066003759407,0.0007057775660057198,0.00041223758020761544,0.00047849623001279583
0.0007551621773679032,0.0007068662366759451,0.00041291411355014337,0.00047927346853821696
0.0007560769062650121,0.0007077280040254307,0.0004134496422103471,0.0004798887131684701
0.0007569872239688342,0.0007085856155836663,0.00041398258833441555,0.00048050099083988846
0.0007579128409687939,0.0007094576406297921,0.00041452449144190116,0.000481123558784004
0.000758863952626879,0.0007103536842283309,0.0004150813204144725,0.0004817632743787092
0.0007599513031400152,0.0007113780786392092,0.0004157179105181766,0.0004824946239255798
0.0007609839640322202,0.0007123509498831433,0.00041632248254579613,0.0004831891893545387
0.0007621600059703942,0.000713458900607284,0.00041701099710512004,0.0004839801925574559
0.0007633048945526629,0.0007145375017120663,0.0004176812729108617,0.0004847502420821896
0.000764446971933786,0.0007156134543803908,0.0004183499028969646,0.0004855184007992591
0.0007655849199893968,0.0007166855168054825,0.00041901611536661413,0.00048628378214113463
0.0007669835060171707,0.0007180031266218901,0.0004198349185158321,0.00048722446800582596
0.0007688282506012154,0.0007197410630265393,0.00042091492549782854,0.0004884652391273126
0.0007699949432565081,0.000720840205778445,0.00042159796651307715,0.0004892499540232706
0.0007711835940027601,0.0007219600352779823,0.0004222938629077383,0.000490049437882575
0.000772409936050715,0.0007231153738045873,0.000423011825700833,0.0004908742728279261
0.0007735187887861913,0.0007241600254886452,0.000423661004295354,0.0004916200847219195
0.000775223621466106,0.0007257661506963763,0.00042465909975711525,0.0004927667514065654
0.0007769635692836567,0.0007274053579234715,0.0004256777534002901,0.000493937036455012
0.0007783991423175274,0.0007287578132490898,0.000426518210617596,0.0004949025996980851
0.000779888541425169,0.000730160978192687,0.00042739018034670907,0.0004959043662391625
0.0007813584484960091,0.0007315457796616595,0.00042825073844950757,0.0004968930224794582
0.0007828355983520056,0.000732937404568469,0.00042911553684584354,0.0004978865502010087
0.0007840510421017478,0.0007340824757933694,0.0004298271192227747,0.0004987040549751195
0.0007850335229175671,0.0007350080723184656,0.0004304023132902569,0.0004993648693958402
0.0007860473128744229,0.0007359631652283058,0.00043099583731583314,0.0005000467422754786
0.0007870730655932519,0.0007369295282726207,0.00043159636494861155,0.0005007366612823251
0.0007880916688484714,0.000737889155797456,0.0004321927069230162,0.0005014217715757824
0.0007891032758423873,0.0007388421921349145,0.00043278495293144206,0.0005021021761993823
0.0007900177143755869,0.0007397036859321625,0.00043332031159789593,0.0005027172255315131
0.0007909304871905448,0.0007405636104539688,0.0004338546950684627,0.0005033311545052439
0.0007923441657525152,0.0007418954389675583,0.0004346823341521776,0.0005042819915750087
0.0007937579652994479,0.0007432273814612468,0.00043551004406662167,0.0005052329100189913
0.0007951730553073319,0.0007445605396999685,0.00043633850948231477,0.0005061846964241515
0.0007972893075467699,0.0007465542638394241,0.0004375774708073821,0.0005076080829933203
0.0007993802553055678,0.0007485241485929368,0.00043880161760690285,0.000509014449824855
0.0008003227272779662,0.0007494120527317315,0.0004393533884695631,0.0005096483543861024
0.000801261658333177,0.0007502966209675838,0.0004399030862998273,0.0005102798773342919
0.0008022050779984566,0.0007511854179291428,0.0004404554119899349,0.0005109144193116724
0.0008032719489520291,0.0007521905185188468,0.00044108001232144595,0.0005116319943521385
0.0008042531713203337,0.000753114929458812,0.00044165446962996755,0.0005122919623438481
0.0008053910413474407,0.0007541869183731433,0.000442320636417776,0.0005130572912039247
0.0008066468087054129,0.0007553699785247035,0.0004430558262788025,0.0005139019175476223
0.0008077441011238381,0.0007564037392182003,0.000443698236877777,0.000514639953997971
0.0008086995025144644,0.0007573038241796541,0.00044425757727720676,0.0005152825548572825
0.0008096681962102363,0.0007582164318400299,0.00044482469966580096,0.000515934096091595
0.000810649240159706,0.0007591406746913661,0.00044539905251889334,0.0005165939440791913
